"GeneID"	"GeneName"	"Family_Subfamily"	"ProteinClass"	"GO_MF"	"GO_BP"	"GO_CC"
"SORBI_3010G113300"	"Senescence-specific cysteine protease SAG39"	"SENESCENCE-SPECIFIC CYSTEINE PROTEASE SAG39 (PTHR12411:SF813)"	"cysteine protease(PC00081)"	"cysteine-type endopeptidase activity(GO:0004197);cysteine-type peptidase activity(GO:0008234)"	"proteolysis(GO:0006508);proteolysis involved in protein catabolic process(GO:0051603)"	"extracellular space(GO:0005615);lysosome(GO:0005764)"
"SORBI_3002G074700"	"Protein kinase domain-containing protein"	"PROTEIN KINASE DOMAIN-CONTAINING PROTEIN (PTHR27008:SF487)"	NA	"protein kinase activity(GO:0004672);ATP binding(GO:0005524);kinase activity(GO:0016301)"	NA	"membrane(GO:0016020)"
"SORBI_3001G345400"	"RING-type domain-containing protein"	"RING-H2 FINGER PROTEIN ATL64 (PTHR45768:SF34)"	"ubiquitin-protein ligase(PC00234)"	"zinc ion binding(GO:0008270)"	NA	"membrane(GO:0016020)"
"SORBI_3009G048100"	"Fungal lipase-like domain-containing protein"	"ALPHA_BETA-HYDROLASES SUPERFAMILY PROTEIN (PTHR46086:SF17)"	"hydrolase(PC00121)"	"triacylglycerol lipase activity(GO:0004806)"	"lipid metabolic process(GO:0006629)"	NA
"SORBI_3006G227400"	"NAD-dependent epimerase_dehydratase domain-containing protein"	"NAD-DEPENDENT EPIMERASE_DEHYDRATASE DOMAIN-CONTAINING PROTEIN (PTHR10366:SF839)"	"dehydratase(PC00091)"	"oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor(GO:0016616)"	NA	NA
"SORBI_3009G205200"	"F-box domain-containing protein"	"OS05G0526300 PROTEIN (PTHR47744:SF1)"	NA	NA	NA	NA
"SORBI_3010G016300"	"Ubiquitin-like domain-containing protein"	"OS06G0126500 PROTEIN (PTHR12329:SF20)"	"chaperone(PC00072)"	"adenyl-nucleotide exchange factor activity(GO:0000774);protein-folding chaperone binding(GO:0051087)"	"protein stabilization(GO:0050821)"	"cytoplasm(GO:0005737)"
"SORBI_3010G138800"	"Uncharacterized protein"	"PHOSPHATE TRANSPORTER PHO1 HOMOLOG 1 (PTHR10783:SF35)"	"secondary carrier transporter(PC00258)"	"inositol hexakisphosphate binding(GO:0000822);phosphate transmembrane transporter activity(GO:0005315)"	"phosphate ion transport(GO:0006817);cellular response to phosphate starvation(GO:0016036)"	"trans-Golgi network(GO:0005802);endomembrane system(GO:0012505);membrane(GO:0016020)"
"SORBI_3004G218900"	"Long-chain-alcohol oxidase"	"LONG-CHAIN-ALCOHOL OXIDASE (PTHR46056:SF12)"	"oxidase(PC00175)"	"oxidoreductase activity(GO:0016491);long-chain-alcohol oxidase activity(GO:0046577);flavin adenine dinucleotide binding(GO:0050660)"	NA	"membrane(GO:0016020)"
"SORBI_3008G070800"	"CCR4-NOT transcription complex subunit 11"	"CCR4-NOT TRANSCRIPTION COMPLEX SUBUNIT 11 (PTHR15975:SF0)"	NA	NA	"regulatory ncRNA-mediated gene silencing(GO:0031047)"	"nucleus(GO:0005634);cytoplasm(GO:0005737);CCR4-NOT complex(GO:0030014)"
"SORBI_3010G133500"	"AT-hook motif nuclear-localized protein"	"AT-HOOK MOTIF NUCLEAR-LOCALIZED PROTEIN (PTHR31500:SF48)"	NA	"DNA binding(GO:0003677);minor groove of adenine-thymine-rich DNA binding(GO:0003680)"	NA	"nucleus(GO:0005634)"
"SORBI_3010G176101"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3010G233450"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3007G076100"	"Uncharacterized protein"	"PROTEIN ECERIFERUM 26-LIKE (PTHR31642:SF146)"	"acetyltransferase(PC00038)"	"acyltransferase activity(GO:0016746);acyltransferase activity, transferring groups other than amino-acyl groups(GO:0016747)"	NA	NA
"SORBI_3010G147250"	"poly(A)-specific ribonuclease"	"POLY(A)-SPECIFIC RIBONUCLEASE (PTHR10797:SF78)"	"mRNA polyadenylation factor(PC00146)"	"nucleic acid binding(GO:0003676);exonuclease activity(GO:0004527);poly(A)-specific ribonuclease activity(GO:0004535)"	"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay(GO:0000288)"	"P-body(GO:0000932);nucleus(GO:0005634);cytoplasm(GO:0005737);CCR4-NOT complex(GO:0030014);CCR4-NOT core complex(GO:0030015)"
"SORBI_3001G536500"	"Uncharacterized protein"	"EXPRESSED PROTEIN (PTHR35107:SF2)"	NA	NA	NA	"membrane(GO:0016020)"
"SORBI_3001G258801"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3007G100700"	"Glycosyltransferase"	"GLYCOSYLTRANSFERASE (PTHR48048:SF44)"	"glycosyltransferase(PC00111)"	"glycosyltransferase activity(GO:0016757);UDP-glucosyltransferase activity(GO:0035251)"	NA	NA
"SORBI_3004G234300"	"FLZ-type domain-containing protein"	"OS02G0751300 PROTEIN (PTHR33059:SF104)"	NA	NA	NA	"cytoplasm(GO:0005737)"
"SORBI_3008G046800"	"Protein kinase domain-containing protein"	"OS07G0203925 PROTEIN (PTHR23257:SF968)"	"non-receptor serine/threonine protein kinase(PC00167)"	"protein kinase activity(GO:0004672);ATP binding(GO:0005524)"	"signal transduction(GO:0007165)"	"cytoplasm(GO:0005737)"
"SORBI_3006G214800"	"HMA domain-containing protein"	"OS08G0205500 PROTEIN (PTHR45868:SF14)"	NA	"metal ion binding(GO:0046872)"	NA	NA
"SORBI_3010G274300"	"C2H2-type domain-containing protein"	"OS06G0727000 PROTEIN (PTHR45988:SF78)"	"C2H2 zinc finger transcription factor(PC00248)"	"transcription cis-regulatory region binding(GO:0000976);DNA-binding transcription factor activity(GO:0003700);zinc ion binding(GO:0008270)"	"regulation of DNA-templated transcription(GO:0006355)"	"nucleus(GO:0005634)"
"SORBI_3005G039500"	"signal-recognition-particle GTPase"	"SIGNAL RECOGNITION PARTICLE SUBUNIT SRP54 (PTHR11564:SF5)"	"RNA metabolism protein(PC00031)"	"RNA binding(GO:0003723);GTPase activity(GO:0003924);GTP binding(GO:0005525);7S RNA binding(GO:0008312);hydrolase activity(GO:0016787);ATP hydrolysis activity(GO:0016887)"	"SRP-dependent cotranslational protein targeting to membrane(GO:0006614)"	"signal recognition particle, endoplasmic reticulum targeting(GO:0005786);signal recognition particle(GO:0048500)"
"SORBI_3002G022300"	"F-box domain-containing protein"	"F-BOX DOMAIN-CONTAINING PROTEIN (PTHR32133:SF356)"	NA	NA	NA	NA
"SORBI_3005G154800"	"Protein kinase domain-containing protein"	"WALL-ASSOCIATED KINASE 2-LIKE PROTEIN (PTHR27005:SF305)"	"transmembrane signal receptor(PC00197)"	"protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524)"	"cell surface receptor signaling pathway(GO:0007166)"	"plasma membrane(GO:0005886)"
"SORBI_3005G126900"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3004G232201"	"Uncharacterized protein"	NA	NA	NA	NA	"membrane(GO:0016020)"
"SORBI_3005G145300"	"PAS domain-containing protein"	"ADAGIO PROTEIN 3 (PTHR46175:SF2)"	"DNA-binding transcription factor(PC00218)"	"photoreceptor activity(GO:0009881)"	"regulation of DNA-templated transcription(GO:0006355);circadian rhythm(GO:0007623);response to blue light(GO:0009637);positive regulation of flower development(GO:0009911);regulation of gene expression(GO:0010468);protein ubiquitination(GO:0016567);rhythmic process(GO:0048511);negative regulation of cellulose biosynthetic process(GO:2001007)"	"nucleus(GO:0005634);cytosol(GO:0005829);SCF ubiquitin ligase complex(GO:0019005)"
"SORBI_3006G044866"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3003G161950"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3004G136800"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3001G202700"	"Uncharacterized protein"	"OS10G0502300 PROTEIN (PTHR36705:SF2)"	NA	NA	NA	NA
"SORBI_3002G030575"	"Uncharacterized protein"	"OS07G0142200 PROTEIN (PTHR33088:SF42)"	NA	NA	NA	NA
"SORBI_3003G192200"	"Major facilitator superfamily (MFS) profile domain-containing protein"	"SUGAR TRANSPORT PROTEIN MST8 (PTHR23500:SF10)"	"secondary carrier transporter(PC00258)"	"monosaccharide transmembrane transporter activity(GO:0015145);symporter activity(GO:0015293)"	"monosaccharide transmembrane transport(GO:0015749)"	"membrane(GO:0016020)"
"SORBI_3003G082300"	"SHSP domain-containing protein"	"17.9 KDA HEAT SHOCK PROTEIN 2 (PTHR11527:SF370)"	"chaperone(PC00072)"	"unfolded protein binding(GO:0051082)"	"protein folding(GO:0006457);response to heat(GO:0009408);response to salt stress(GO:0009651);response to hydrogen peroxide(GO:0042542);protein complex oligomerization(GO:0051259)"	NA
"SORBI_3010G139000"	"SURP motif domain-containing protein"	"G PATCH DOMAIN-CONTAINING PROTEIN 1 (PTHR13384:SF19)"	NA	"RNA binding(GO:0003723);primary miRNA binding(GO:0070878);pre-miRNA binding(GO:0070883)"	"mRNA processing(GO:0006397);phloem or xylem histogenesis(GO:0010087);siRNA processing(GO:0030422);miRNA processing(GO:0035196)"	"nucleus(GO:0005634)"
"SORBI_3002G033900"	"PSI-K"	"PHOTOSYSTEM I REACTION CENTER SUBUNIT PSAK, CHLOROPLASTIC (PTHR34195:SF2)"	NA	NA	"photosynthesis(GO:0015979)"	"chloroplast(GO:0009507);photosystem I(GO:0009522);thylakoid(GO:0009579);membrane(GO:0016020)"
"SORBI_3002G130800"	"Potassium transporter"	"POTASSIUM TRANSPORTER 18 (PTHR30540:SF31)"	"transporter(PC00227)"	"potassium ion transmembrane transporter activity(GO:0015079)"	"potassium ion transport(GO:0006813);potassium ion transmembrane transport(GO:0071805)"	"membrane(GO:0016020)"
"SORBI_3010G193700"	"Non-structural maintenance of chromosomes element 4"	"NON-STRUCTURAL MAINTENANCE OF CHROMOSOMES ELEMENT 4 (PTHR16140:SF4)"	NA	NA	"DNA repair(GO:0006281);DNA recombination(GO:0006310)"	"nucleus(GO:0005634);chromosome(GO:0005694);Smc5-Smc6 complex(GO:0030915)"
"SORBI_3005G085400"	"Uncharacterized protein"	NA	NA	"metal ion binding(GO:0046872)"	NA	"DNA-directed RNA polymerase complex(GO:0000428)"
"SORBI_3003G392700"	"Major facilitator superfamily (MFS) profile domain-containing protein"	"OS01G0902800 PROTEIN (PTHR11654:SF304)"	"transporter(PC00227)"	"transmembrane transporter activity(GO:0022857)"	"oligopeptide transport(GO:0006857);transmembrane transport(GO:0055085)"	"membrane(GO:0016020)"
"SORBI_3001G522500"	"BZIP domain-containing protein"	"FAMILY TRANSCRIPTION FACTOR, PUTATIVE, EXPRESSED-RELATED (PTHR13690:SF155)"	"DNA-binding transcription factor(PC00218)"	"DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700)"	"regulation of DNA-templated transcription(GO:0006355)"	"nucleus(GO:0005634)"
"SORBI_3003G203833"	"TF-B3 domain-containing protein"	"B3 DOMAIN-CONTAINING PROTEIN (PTHR31391:SF65)"	NA	"DNA binding(GO:0003677)"	NA	"nucleus(GO:0005634)"
"SORBI_3002G067050"	"Eukaryotic translation initiation factor 3 subunit G N-terminal domain-containing protein"	"OS12G0531500 PROTEIN (PTHR33170:SF2)"	NA	NA	NA	NA
"SORBI_3001G337500"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3010G110500"	"4-coumarate--CoA ligase"	"4-COUMARATE--COA LIGASE (PTHR43859:SF19)"	"ligase(PC00142)"	"4-coumarate-CoA ligase activity(GO:0016207);trans-cinnamate-CoA ligase activity(GO:0106290)"	"phenylpropanoid metabolic process(GO:0009698)"	NA
"SORBI_3001G089000"	"Beta-glucosidase"	"GLYCOSYL HYDROLASE FAMILY 3 N TERMINAL DOMAIN CONTAINING PROTEIN, EXPRESSED (PTHR30620:SF83)"	"glucosidase(PC00108)"	"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);beta-glucosidase activity(GO:0008422);hydrolase activity, acting on glycosyl bonds(GO:0016798)"	"carbohydrate metabolic process(GO:0005975);glucan catabolic process(GO:0009251)"	"membrane(GO:0016020)"
"SORBI_3003G144900"	"cAMP-regulated phosphoprotein 19-related protein"	"OS01G0305200 PROTEIN (PTHR34804:SF2)"	NA	NA	NA	NA
"SORBI_3009G108900"	"Uncharacterized protein"	"MEMBRANE LIPOPROTEIN-RELATED (PTHR34054:SF15)"	NA	NA	NA	"membrane(GO:0016020)"
"SORBI_3005G042700"	"Transcription repressor"	"TRANSCRIPTION REPRESSOR (PTHR33057:SF227)"	NA	NA	"negative regulation of DNA-templated transcription(GO:0045892)"	"nucleus(GO:0005634)"
"SORBI_3003G083200"	"Uncharacterized protein"	"PROTEIN SAR DEFICIENT 1 (PTHR31713:SF42)"	NA	"DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);calmodulin binding(GO:0005516);sequence-specific DNA binding(GO:0043565)"	"regulation of DNA-templated transcription(GO:0006355);regulation of salicylic acid biosynthetic process(GO:0080142)"	"nucleus(GO:0005634)"
"SORBI_3006G094100"	"Uncharacterized protein"	"KINETOCHORE PROTEIN SPC24 HOMOLOG-RELATED (PTHR35730:SF2)"	NA	NA	"regulation of chromosome segregation(GO:0051983)"	NA
"SORBI_3001G259900"	"Protein TIFY"	"PROTEIN TIFY 11E (PTHR33077:SF97)"	NA	NA	"response to wounding(GO:0009611);regulation of defense response(GO:0031347);regulation of jasmonic acid mediated signaling pathway(GO:2000022)"	"nucleus(GO:0005634)"
"SORBI_3002G074600"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3001G182900"	"Uncharacterized protein"	NA	NA	NA	NA	"membrane(GO:0016020)"
"SORBI_3010G132300"	"CDK5RAP3-like protein"	"CDK5 REGULATORY SUBUNIT-ASSOCIATED PROTEIN 3 (PTHR14894:SF0)"	NA	NA	"regulation of mitotic cell cycle(GO:0007346);rescue of stalled ribosome(GO:0072344);positive regulation of reticulophagy(GO:0140501)"	"endomembrane system(GO:0012505)"
"SORBI_3010G133450"	"Uncharacterized protein"	NA	NA	NA	NA	"membrane(GO:0016020)"
"SORBI_3003G100500"	"Leucine-rich repeat-containing N-terminal plant-type domain-containing protein"	"LEUCINE-RICH REPEAT-CONTAINING N-TERMINAL PLANT-TYPE DOMAIN-CONTAINING PROTEIN (PTHR48063:SF40)"	"transmembrane signal receptor(PC00197)"	NA	NA	"plasma membrane(GO:0005886);membrane(GO:0016020)"
"SORBI_3003G249900"	"Metallo-beta-lactamase domain-containing protein"	"PERSULFIDE DIOXYGENASE ETHE1, MITOCHONDRIAL (PTHR43084:SF1)"	"oxygenase(PC00177)"	"hydrolase activity, acting on ester bonds(GO:0016788);metal ion binding(GO:0046872);sulfur dioxygenase activity(GO:0050313)"	"glutathione metabolic process(GO:0006749);embryo development ending in seed dormancy(GO:0009793);endosperm development(GO:0009960);seed development(GO:0048316);hydrogen sulfide metabolic process(GO:0070813)"	"mitochondrion(GO:0005739)"
"SORBI_3008G082600"	"Secreted protein"	NA	NA	NA	NA	NA
"SORBI_3001G027900"	"Cation_H+ exchanger domain-containing protein"	"OS03G0828600 PROTEIN (PTHR32468:SF122)"	"transporter(PC00227)"	"antiporter activity(GO:0015297)"	"potassium ion transport(GO:0006813);regulation of pH(GO:0006885);inorganic cation transmembrane transport(GO:0098662);proton transmembrane transport(GO:1902600)"	"chloroplast envelope(GO:0009941);endomembrane system(GO:0012505);membrane(GO:0016020)"
"SORBI_3010G134100"	"Mitochondrial glycoprotein"	"OS06G0326500 PROTEIN (PTHR10826:SF27)"	"complement component(PC00078)"	NA	NA	"mitochondrial matrix(GO:0005759)"
"SORBI_3003G033300"	"Uncharacterized protein"	"MYB-LIKE PROTEIN Q (PTHR33673:SF36)"	NA	NA	NA	NA
"SORBI_3003G103701"	"non-specific serine_threonine protein kinase"	"SERINE-PROTEIN KINASE ATM (PTHR11139:SF72)"	"non-receptor serine/threonine protein kinase(PC00167)"	"protein serine/threonine kinase activity(GO:0004674);3-phosphoinositide-dependent protein kinase activity(GO:0004676);DNA-dependent protein kinase activity(GO:0004677);AMP-activated protein kinase activity(GO:0004679);eukaryotic translation initiation factor 2alpha kinase activity(GO:0004694);ribosomal protein S6 kinase activity(GO:0004711);ATP binding(GO:0005524);histone H3S10 kinase activity(GO:0035175);histone H3T11 kinase activity(GO:0035402);histone H3T6 kinase activity(GO:0035403);histone H2AXS139 kinase activity(GO:0035979);histone H3S28 kinase activity(GO:0044022);histone H4S1 kinase activity(GO:0044023);histone H2AS1 kinase activity(GO:0044024);histone H2BS14 kinase activity(GO:0044025);histone H3T3 kinase activity(GO:0072354);histone H2AS121 kinase activity(GO:0072371);Rho-dependent protein serine/threonine kinase activity(GO:0072518);histone H2BS36 kinase activity(GO:0140823);histone H3S57 kinase activity(GO:0140855);histone H3T45 kinase activity(GO:0140857);histone H2AT120 kinase activity(GO:1990244)"	"DNA damage checkpoint signaling(GO:0000077);telomere maintenance(GO:0000723);DNA repair(GO:0006281);double-strand break repair(GO:0006302);chromatin remodeling(GO:0006338);DNA damage response(GO:0006974);negative regulation of TORC1 signaling(GO:1904262)"	"nucleus(GO:0005634);chromosome(GO:0005694);cytoplasm(GO:0005737)"
"SORBI_3005G045200"	"Homeobox domain-containing protein"	"BEL1-LIKE HOMEODOMAIN PROTEIN 5 (PTHR11850:SF135)"	"homeodomain transcription factor(PC00119)"	"DNA binding(GO:0003677)"	"regulation of DNA-templated transcription(GO:0006355)"	"nucleus(GO:0005634)"
"SORBI_3005G030400"	"Uncharacterized protein"	"3BETA,22ALPHA-DIHYDROXYSTEROID 3-DEHYDROGENASE (PTHR24286:SF44)"	"oxygenase(PC00177)"	"monooxygenase activity(GO:0004497);iron ion binding(GO:0005506);oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen(GO:0016705);heme binding(GO:0020037);metal ion binding(GO:0046872)"	"brassinosteroid homeostasis(GO:0010268);brassinosteroid biosynthetic process(GO:0016132)"	"membrane(GO:0016020)"
"SORBI_3004G108100"	"EF-hand domain-containing protein"	"SODIUM_CALCIUM EXCHANGER MEMBRANE REGION DOMAIN-CONTAINING PROTEIN (PTHR31503:SF36)"	"transporter(PC00227)"	"calcium ion binding(GO:0005509);monoatomic cation transmembrane transporter activity(GO:0008324);antiporter activity(GO:0015297);calcium:monoatomic cation antiporter activity(GO:0015368);calcium:proton antiporter activity(GO:0015369)"	"monoatomic ion transport(GO:0006811);monoatomic cation transport(GO:0006812);intracellular calcium ion homeostasis(GO:0006874);transmembrane transport(GO:0055085);calcium ion transmembrane transport(GO:0070588);proton transmembrane transport(GO:1902600)"	"endomembrane system(GO:0012505);membrane(GO:0016020)"
"SORBI_3007G103400"	"Uncharacterized protein"	"PENTATRICOPEPTIDE REPEAT (PPR) SUPERFAMILY PROTEIN (PTHR37381:SF1)"	NA	NA	NA	NA
"SORBI_3003G074600"	"AB hydrolase-1 domain-containing protein"	"LECITHIN-CHOLESTEROL ACYLTRANSFERASE-LIKE 1 (PTHR11440:SF91)"	"acyltransferase(PC00042)"	"O-acyltransferase activity(GO:0008374)"	"lipid metabolic process(GO:0006629)"	NA
"SORBI_3006G185300"	"LysM domain-containing protein"	"OS04G0572800 PROTEIN (PTHR33648:SF15)"	NA	NA	NA	"membrane(GO:0016020)"
"SORBI_3010G153000"	"Uncharacterized protein"	"TROPOMYOSIN (PTHR38353:SF2)"	"actin binding motor protein(PC00040)"	NA	NA	NA
"SORBI_3004G142400"	"Morc S5 domain-containing protein"	"OS02G0469300 PROTEIN (PTHR23336:SF54)"	NA	"RNA binding(GO:0003723);endonuclease activity(GO:0004519);ATP hydrolysis activity(GO:0016887)"	"DNA repair(GO:0006281);chromatin organization(GO:0006325);regulatory ncRNA-mediated gene silencing(GO:0031047);positive regulation of defense response(GO:0031349)"	"nucleus(GO:0005634)"
"SORBI_3005G018300"	"Apyrase"	"APYRASE FAMILY PROTEIN-RELATED (PTHR11782:SF126)"	"nucleotide phosphatase(PC00173)"	"ATP binding(GO:0005524);hydrolase activity(GO:0016787);nucleoside diphosphate phosphatase activity(GO:0017110)"	"nucleoside diphosphate catabolic process(GO:0009134)"	"membrane(GO:0016020)"
"SORBI_3001G070600"	"SWIM-type domain-containing protein"	"PROTEIN FAR1-RELATED SEQUENCE (PTHR31669:SF162)"	NA	"DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);zinc ion binding(GO:0008270)"	"regulation of DNA-templated transcription(GO:0006355)"	"nucleus(GO:0005634)"
"SORBI_3001G531000"	"DUF4378 domain-containing protein"	"DUF4378 DOMAIN-CONTAINING PROTEIN (PTHR33623:SF4)"	NA	NA	NA	NA
"SORBI_3005G139600"	"Germin-like protein"	"GERMIN-LIKE PROTEIN SUBFAMILY 3 MEMBER 4 (PTHR31238:SF3)"	NA	"manganese ion binding(GO:0030145);metal ion binding(GO:0046872)"	NA	"apoplast(GO:0048046)"
"SORBI_3007G213925"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3010G140100"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3001G182100"	"QWRF motif-containing protein 3"	"QWRF MOTIF PROTEIN (DUF566)-RELATED (PTHR31807:SF31)"	NA	"microtubule binding(GO:0008017)"	"spindle assembly(GO:0051225)"	"cytoplasm(GO:0005737);nuclear microtubule(GO:0005880)"
"SORBI_3001G536700"	"Uncharacterized protein"	"PROTEIN IN CHLOROPLAST ATPASE BIOGENESIS, CHLOROPLASTIC (PTHR35115:SF1)"	NA	NA	NA	NA
"SORBI_3004G357300"	"Uncharacterized protein"	"LARGE RIBOSOMAL RNA SUBUNIT ACCUMULATION PROTEIN YCED HOMOLOG 1, CHLOROPLASTIC (PTHR34374:SF1)"	NA	NA	NA	NA
"SORBI_3001G346200"	"X8 domain-containing protein"	"GLUCAN ENDO-1,3-BETA-D-GLUCOSIDASE (PTHR32227:SF59)"	"glucosidase(PC00108)"	"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);hydrolase activity, acting on glycosyl bonds(GO:0016798);glucan endo-1,3-beta-D-glucosidase activity(GO:0042973)"	"carbohydrate metabolic process(GO:0005975)"	"plasma membrane(GO:0005886)"
"SORBI_3002G066700"	"Uncharacterized protein"	"F-BOX DOMAIN-CONTAINING PROTEIN (PTHR32133:SF268)"	NA	NA	NA	NA
"SORBI_3010G158832"	"X8 domain-containing protein"	"PLASMODESMATA CALLOSE-BINDING PROTEIN 5 (PTHR31044:SF33)"	NA	NA	NA	"plasmodesma(GO:0009506)"
"SORBI_3005G197200"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3010G141433"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3005G217900"	"Neprosin domain-containing protein"	"NEP-INTERACTING PROTEIN 1 (PTHR31589:SF108)"	NA	NA	NA	"membrane(GO:0016020)"
"SORBI_3003G356900"	"Uncharacterized protein"	"TIP41-LIKE PROTEIN (PTHR33356:SF5)"	NA	NA	NA	NA
"SORBI_3007G218000"	"Chloride channel protein"	"CHLORIDE CHANNEL PROTEIN (PTHR43427:SF13)"	"ion channel(PC00133)"	"voltage-gated chloride channel activity(GO:0005247);chloride transmembrane transporter activity(GO:0015108)"	"monoatomic ion transport(GO:0006811);chloride transport(GO:0006821);transmembrane transport(GO:0055085);chloride transmembrane transport(GO:1902476)"	"Golgi apparatus(GO:0005794);chloroplast(GO:0009507);membrane(GO:0016020)"
"SORBI_3002G075100"	"Protein kinase domain-containing protein"	"PROTEIN KINASE DOMAIN-CONTAINING PROTEIN (PTHR27008:SF487)"	NA	"protein kinase activity(GO:0004672);ATP binding(GO:0005524);kinase activity(GO:0016301)"	NA	"membrane(GO:0016020)"
"SORBI_3004G285200"	"THUMP domain-containing protein"	"OS02G0672400 PROTEIN (PTHR13452:SF13)"	NA	"RNA binding(GO:0003723)"	"tRNA modification(GO:0006400)"	NA
"SORBI_3002G421501"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3003G444300"	"Kinetochore protein SPC25"	"KINETOCHORE PROTEIN SPC25 (PTHR14281:SF0)"	NA	NA	"chromosome segregation(GO:0007059);cell division(GO:0051301)"	"chromosome, centromeric region(GO:0000775);kinetochore(GO:0000776);nucleus(GO:0005634);chromosome(GO:0005694);Ndc80 complex(GO:0031262)"
"SORBI_3009G003000"	"methionine S-methyltransferase"	"METHIONINE S-METHYLTRANSFERASE (PTHR47087:SF1)"	"methyltransferase(PC00155)"	"methyltransferase activity(GO:0008168);S-adenosylmethionine-dependent methyltransferase activity(GO:0008757);pyridoxal phosphate binding(GO:0030170);methionine S-methyltransferase activity(GO:0030732)"	"selenium compound metabolic process(GO:0001887);biosynthetic process(GO:0009058);methylation(GO:0032259);S-adenosylmethionine metabolic process(GO:0046500)"	NA
"SORBI_3007G202300"	"BLE2 protein"	"BLE2 PROTEIN (PTHR33115:SF43)"	NA	NA	NA	"membrane(GO:0016020)"
"SORBI_3003G160100"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3004G239901"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3010G132400"	"Beta-glucosidase"	"MYROSINASE 3-RELATED (PTHR10353:SF137)"	"glycosidase(PC00110)"	"hydrolase activity, hydrolyzing O-glycosyl compounds(GO:0004553);beta-glucosidase activity(GO:0008422);hydrolase activity, acting on glycosyl bonds(GO:0016798)"	"carbohydrate metabolic process(GO:0005975)"	NA
"SORBI_3001G536400"	"THO complex subunit 1"	"HPR1 (PTHR13265:SF0)"	"RNA metabolism protein(PC00031)"	NA	"mRNA export from nucleus(GO:0006406);ethylene-activated signaling pathway(GO:0009873);ta-siRNA processing(GO:0010267);regulatory ncRNA-mediated gene silencing(GO:0031047);defense response to fungus(GO:0050832)"	"THO complex(GO:0000347);THO complex part of transcription export complex(GO:0000445);nucleus(GO:0005634)"
"SORBI_3005G082950"	"Histone H2A C-terminal domain-containing protein"	"ANKYRIN REPEAT DOMAIN-CONTAINING PROTEIN 2A (PTHR24203:SF78)"	NA	"chloroplast targeting sequence binding(GO:0030941);protein heterodimerization activity(GO:0046982)"	"protein targeting to chloroplast(GO:0045036)"	"chloroplast outer membrane(GO:0009707)"
"SORBI_3004G234000"	"Inositol polyphosphate-related phosphatase domain-containing protein"	"TYPE I INOSITOL POLYPHOSPHATE 5-PHOSPHATASE 5 (PTHR45666:SF3)"	"phosphatase(PC00181)"	"phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity(GO:0004439);inositol-polyphosphate 5-phosphatase activity(GO:0004445);phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase activity(GO:0034485)"	"phosphatidylinositol dephosphorylation(GO:0046856)"	NA
"SORBI_3004G217000"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3002G143600"	"Uncharacterized protein"	NA	NA	NA	NA	NA
"SORBI_3004G092900"	"Aminopeptidase"	"PUROMYCIN-SENSITIVE AMINOPEPTIDASE-RELATED (PTHR11533:SF174)"	"metalloprotease(PC00153)"	"aminopeptidase activity(GO:0004177);metallopeptidase activity(GO:0008237);zinc ion binding(GO:0008270);peptide binding(GO:0042277);metal ion binding(GO:0046872);metalloaminopeptidase activity(GO:0070006)"	"proteolysis(GO:0006508);peptide catabolic process(GO:0043171)"	"extracellular space(GO:0005615);cytoplasm(GO:0005737);membrane(GO:0016020);intracellular membrane-bounded organelle(GO:0043231)"
